count,win_rate,pf,cum,avg,month_avg,RSI,DEV,DCH,MACRO
602,47.176079734219265,0.9406713223586273,-41.664581776079274,-0.06921026873102869,11.091393939393939,60,3.0,3.0,none
135,48.888888888888886,1.1997002733762074,28.647555900273197,0.21220411777980147,2.4872727272727273,60,3.0,3.0,below_ma25
467,46.680942184154176,0.8741762231331449,-70.31213767635246,-0.15056132264743569,8.604121212121212,60,3.0,3.0,above_ma25
175,51.42857142857142,1.0387789896971884,7.735144707495445,0.044200826899973976,3.224242424242424,60,3.0,3.0,below_ma5
339,47.1976401179941,0.9673099857965604,-12.653338255248627,-0.03732548157890451,6.245818181818182,60,3.0,4.0,none
77,46.75324675324675,1.0719461143017714,6.372949181231635,0.08276557378222903,1.4186666666666667,60,3.0,4.0,below_ma25
262,47.32824427480916,0.9362584143089426,-19.026287436480263,-0.07261941769648955,4.827151515151515,60,3.0,4.0,above_ma25
90,46.666666666666664,0.9128932627483526,-9.353500849724838,-0.10392778721916487,1.6581818181818182,60,3.0,4.0,below_ma5
182,46.15384615384615,0.9758700288311876,-5.229496852147673,-0.028733499187624575,3.3532121212121213,60,3.0,5.0,none
48,50.0,1.0347959353461995,2.013633016326415,0.041950687840133644,0.8843636363636364,60,3.0,5.0,below_ma25
134,44.776119402985074,0.9544033606574089,-7.243129868474087,-0.05405320797368721,2.468848484848485,60,3.0,5.0,above_ma25
54,50.0,0.9336344019788999,-4.389593920321012,-0.08128877630224096,0.9949090909090909,60,3.0,5.0,below_ma5
574,46.864111498257834,0.9344503013201944,-44.06687648456446,-0.07677156181979872,10.575515151515152,60,4.0,3.0,none
124,50.806451612903224,1.31449684068137,39.70868344371949,0.320231318094512,2.2846060606060608,60,4.0,3.0,below_ma25
450,45.77777777777778,0.8465664988315525,-83.77555992828395,-0.18616791095174212,8.290909090909091,60,4.0,3.0,above_ma25
167,50.898203592814376,0.9997434318808949,-0.04963756995617262,-0.00029723095782139294,3.076848484848485,60,4.0,3.0,below_ma5
327,46.788990825688074,0.9510490301105099,-18.433610554199195,-0.05637189771926359,6.024727272727272,60,4.0,4.0,none
72,48.61111111111111,1.16285859192338,13.20489593663929,0.18340133245332346,1.3265454545454545,60,4.0,4.0,below_ma25
255,46.27450980392157,0.8929290224859322,-31.638506490838484,-0.1240725744738764,4.698181818181818,60,4.0,4.0,above_ma25
87,47.12643678160919,0.8912289081374704,-11.353500849724838,-0.13050000976695217,1.6029090909090908,60,4.0,4.0,below_ma5
178,46.62921348314607,0.9934598671773126,-1.3683563287775318,-0.007687395105491751,3.2795151515151515,60,4.0,5.0,none
46,52.17391304347826,1.1219947519358768,6.511137176060192,0.1415464603491346,0.8475151515151516,60,4.0,5.0,below_ma25
132,44.696969696969695,0.949442550448236,-7.879493504837724,-0.059693132612406996,2.432,60,4.0,5.0,above_ma25
53,50.943396226415096,0.9779927706069217,-1.3895939203210121,-0.026218753213604003,0.9764848484848485,60,4.0,5.0,below_ma5
523,46.27151051625239,0.9071305731656643,-57.940836076016375,-0.11078553743024164,9.635878787878788,60,5.0,3.0,none
111,50.45045045045045,1.3112633865134686,35.95059008989951,0.32387918999909465,2.045090909090909,60,5.0,3.0,below_ma25
412,45.14563106796117,0.8153185998267628,-93.89142616591589,-0.22789181108232012,7.590787878787879,60,5.0,3.0,above_ma25
148,51.35135135135135,1.029228461241534,5.094532572879306,0.03442251738431963,2.7267878787878788,60,5.0,3.0,below_ma5
301,46.179401993355484,0.9267378378409881,-25.6488015933774,-0.08521196542650299,5.545696969696969,60,5.0,4.0,none
63,49.2063492063492,1.181449828845837,12.93438134459247,0.20530764039035668,1.1607272727272726,60,5.0,4.0,below_ma25
238,45.378151260504204,0.8616160940482291,-38.58318293796987,-0.1621142140250835,4.384969696969697,60,5.0,4.0,above_ma25
76,46.05263157894737,0.8939260008234228,-10.032617190687397,-0.1320081209300973,1.4002424242424243,60,5.0,4.0,below_ma5
163,46.62576687116564,0.9750601798522274,-4.722394332360378,-0.028971744370309065,3.003151515151515,60,5.0,5.0,none
41,53.65853658536586,1.2125353246533455,9.927976878350012,0.24214577752073202,0.7553939393939394,60,5.0,5.0,below_ma25
122,44.26229508196721,0.8972908905726313,-14.650371210710391,-0.12008500992385567,2.247757575757576,60,5.0,5.0,above_ma25
45,51.11111111111111,1.018710870461481,1.0007034577220375,0.02223785461604528,0.8290909090909091,60,5.0,5.0,below_ma5
510,46.470588235294116,0.913592422261039,-52.17465025021906,-0.10230323578474325,9.396363636363636,65,3.0,3.0,none
116,49.137931034482754,1.223861902281886,26.921854694556167,0.23208495426341524,2.137212121212121,65,3.0,3.0,below_ma25
394,45.68527918781726,0.8364285364249711,-79.09650494477522,-0.2007525506212569,7.259151515151515,65,3.0,3.0,above_ma25
153,52.28758169934641,1.130628506737919,21.97010866625942,0.14359548147881973,2.818909090909091,65,3.0,3.0,below_ma5
288,46.52777777777778,0.9098870266373238,-30.358647568335236,-0.10541197072338623,5.306181818181818,65,3.0,4.0,none
65,46.15384615384615,1.0213531340063673,1.6032354287667236,0.02466516044256498,1.1975757575757575,65,3.0,4.0,below_ma25
223,46.63677130044843,0.8779211536029817,-31.96188299710196,-0.14332682958341686,4.108606060606061,65,3.0,4.0,above_ma25
78,47.43589743589743,0.9863642616874112,-1.2187590662137155,-0.015625116233509175,1.437090909090909,65,3.0,4.0,below_ma5
