n1,n2,e1,e1_pf,e2,e2_pf,e3,e3_pf,e4,e4_pf,total,design,oos,win_years,worst_year,worst_month,ex3,pf1,avg1,gain,atr,dev,vr,rng,tov,rank,n_cand
2549,1080,6157973.559535102,1.622923995092488,10086711.479913104,1.452644306020235,1101270.802021237,1.1245993464373143,2125136.901422951,1.155541316813979,19471092.742892396,16244685.039448205,3226407.703444188,21,-968219.4770419998,-575139.9999999999,18469692.742892396,1.341936138775248,0.6526289400790455,7.0,4.0,8.0,4.0,5.0,1000000000.0,乖離のみ,5812
2549,1059,6398491.438077297,1.645878705623382,11784810.511648934,1.5573058273612062,1149326.3649110089,1.1305436070624544,2505506.1858939505,1.1889677618232497,21838134.50053119,18183301.94972623,3654832.5508049596,21,-1180969.4706299999,-401200.0,20903334.50053119,1.4270521502785611,0.7889724781917615,7.0,4.0,8.0,4.0,5.0,1000000000.0,ATRのみ,5812
2549,1063,6161523.655031542,1.620286652909817,11139731.752465252,1.514833047911366,1011051.3438833468,1.1157135011175592,1957919.995705951,1.143506013988094,20270226.747086093,17301255.407496795,2968971.339589298,22,-1125536.158511,-554219.9999999999,19241626.747086093,1.3928829498552768,0.7188571957943477,7.0,4.0,8.0,4.0,5.0,1000000000.0,前日比のみ,5812
2549,1066,6147053.412665988,1.6143155829587024,11986817.052254127,1.5512301908395447,1193476.673543124,1.1349380210155047,2654611.8998349505,1.1974921575064497,21981959.03829819,18133870.464920115,3848088.5733780744,23,-945874.717509,-613989.9999999999,20973359.03829819,1.4402020727665477,0.8241957260403779,7.0,4.0,8.0,4.0,5.0,1000000000.0,乖離×ATR×前日比,5812
3286,1586,9699644.027748402,1.607815718909919,9683272.28151342,1.2715224566827834,2978058.505399809,1.2208472747016235,6038863.327756001,1.4029328058724209,28399838.142417632,19382916.30926182,9016921.83315581,23,-556485.6359294968,-894900.0,27260771.47971763,1.373273516189436,0.7897423509707875,7.0,4.0,8.0,4.0,8.0,300000000.0,乖離×ATR(現行),7776
3286,1582,9030452.361918211,1.5558169583361174,8162535.22386682,1.2215014357582052,2661159.3380621467,1.191581007782535,4749470.471012001,1.305719132874902,24603617.39485918,17192987.58578503,7410629.809074148,21,-1510976.2964965568,-1084700.0,23464550.73215918,1.3079870007574363,0.6734169412057626,7.0,4.0,8.0,4.0,8.0,300000000.0,乖離のみ,7776
3286,1576,9157831.847503804,1.5623676849402075,10916930.470592547,1.3197123081371624,2889927.923521809,1.2166967722295718,5310009.518799,1.350864573691049,28274699.76041716,20074762.31809635,8199937.442320809,24,-181272.44044586734,-498027.77711888705,27202233.09771716,1.380935609576188,0.7778530087230799,7.0,4.0,8.0,4.0,8.0,300000000.0,ATRのみ,7776
3286,1591,8752549.206052333,1.539934092516261,11641419.082906349,1.337099161749278,2719232.7908311468,1.2046350339071579,4851930.469567001,1.3158400783414361,27965131.549356833,20393968.288958684,7571163.260398148,22,-245922.44044586737,-615216.6664120001,26826064.886656832,1.358484869655381,0.7381345979571596,7.0,4.0,8.0,4.0,8.0,300000000.0,前日比のみ,7776
3286,1578,9576533.272612436,1.600936631326227,10773999.568424309,1.3023676332682028,2619692.6719931467,1.1883673703724165,5549260.4706540005,1.3588149612274862,28519485.98368389,20350532.841036744,8168953.142647147,22,-248623.32061699993,-807966.666091337,27380419.32098389,1.368084569790054,0.7865986439691695,7.0,4.0,8.0,4.0,8.0,300000000.0,乖離×ATR×前日比,7776
2798,1195,7484061.048542752,1.5846233418906621,9439226.470771518,1.3110151845855462,2205050.270816999,1.2037668382094417,5151966.661230001,1.377904065337254,24280304.45136127,16923287.51931427,7357016.932047,24,-320420.83330000006,-747700.00055,23187037.788661268,1.3481791001222296,0.7433387241514972,7.0,4.0,8.0,4.0,8.0,500000000.0,乖離×ATR(現行),5990
2798,1201,6952179.486317398,1.5361374389906466,8378855.855904482,1.2709858329197488,1650078.3471103369,1.1468299669122546,3608173.804624001,1.2509102789222473,20589287.49395622,15331035.34222188,5258252.151734338,21,-416821.3654095248,-772000.00022,19499020.83125622,1.2932505308169406,0.6438104999096598,7.0,4.0,8.0,4.0,8.0,500000000.0,乖離のみ,5990
2798,1196,7966119.8647661405,1.6350022971497244,10511563.918621298,1.3564327664042442,1855884.433323999,1.1720243122245428,4767212.851875001,1.3507121229794683,25100781.068586435,18477683.783387437,6623097.285199,25,-307820.83330000006,-460638.88855777215,24077114.405886434,1.402107614537396,0.8260243507949177,7.0,4.0,8.0,4.0,8.0,500000000.0,ATRのみ,5990
2798,1210,7355415.006767297,1.5815823815193282,11251052.120503724,1.380166239282738,1847407.7620743373,1.1732190667992013,4248800.470087,1.3043219501440955,24702675.35943236,18606467.12727102,6096208.2321613375,22,-55895.833300000086,-597250.0004799999,23592408.696732357,1.3856463166842559,0.79300543368521,7.0,4.0,8.0,4.0,8.0,500000000.0,前日比のみ,5990
2798,1196,7527908.701572623,1.588546212692359,10953230.996092793,1.3665305875723075,1751401.1043903367,1.1574196319695822,4483130.470480001,1.3152782090324477,24715671.27253575,18481139.697665416,6234531.574870337,24,-255420.83330000006,-599150.0004799999,23622404.609835748,1.3645705673794837,0.7794784055766815,7.0,4.0,8.0,4.0,8.0,500000000.0,乖離×ATR×前日比,5990
2069,716,5609685.436106163,1.739347870595073,10469473.880282242,1.5371054181405706,1979375.008773999,1.2993366410539728,2548220.4716990003,1.2265450405044163,20606754.796861406,16079159.316388406,4527595.480473,21,-311766.65974200005,-630933.33271,19598154.796861406,1.4216494151095567,0.8529709033586995,7.0,4.0,8.0,4.0,8.0,1000000000.0,乖離×ATR(現行),3883
