entry,y,ticker,pnl,yen
2001-02-09,2001,7912.T,-0.9009009009009009,-8400.0
2001-02-09,2001,4519.T,-0.06042296072506818,-600.7250695213771
2001-02-14,2001,6902.T,-3.0,-28560.0
2001-02-19,2001,8031.T,-0.2985074626865672,-2900.0000000000005
2001-02-20,2001,5803.T,-1.0752688172043077,-10713.619643139851
2001-02-21,2001,8572.T,-0.5747126436781609,-5500.0
2001-02-23,2001,8053.T,0.5555555555555556,5515.277777777778
2001-03-02,2001,7751.T,5.053191489361705,37999.999620000024
2001-03-02,2001,7912.T,0.8577555396711937,7405.861329521086
2001-03-06,2001,8001.T,0.4016064257028169,3991.9678714860006
2001-03-13,2001,4502.T,4.092526690391459,22836.29893238434
2001-03-13,2001,2914.T,3.125,30075.0
2001-03-26,2001,9503.T,0.7526881720430108,6988.709677419354
2001-05-14,2001,8801.T,-3.0,-29949.999700499997
2001-05-17,2001,8802.T,1.3456686291000841,12735.407905803197
2001-05-21,2001,5401.T,-1.4285714285714286,-13799.999999999998
2001-05-22,2001,2503.T,-1.0628875110717448,-9600.0
2001-05-23,2001,4502.T,-0.6861063464837049,-4027.444253859348
2001-05-28,2001,4523.T,4.181184668989547,35749.12891986063
2001-06-07,2001,7751.T,0.21598272138227786,2043.196523844383
2001-06-11,2001,9020.T,1.3761467889908252,12183.486116697244
2001-06-12,2001,9022.T,-3.0,-26640.0
2001-06-21,2001,4523.T,-0.7299270072992701,-6087.591240875912
2001-06-27,2001,9432.T,1.2461059190031107,12435.140186915842
2001-07-13,2001,6752.T,-3.5677352637021715,-34357.290589451906
2001-07-16,2001,2502.T,-0.9694258016405632,-9533.333237999967
2001-07-17,2001,4502.T,0.3590664272890485,2017.9533213644524
2001-07-23,2001,9020.T,-0.5856515373352942,-5333.333280000079
2001-07-24,2001,9502.T,3.8,28842.0
2001-07-25,2001,4502.T,4.49438202247191,24449.43820224719
2001-07-25,2001,6752.T,-3.0,-26400.0
2001-07-27,2001,7912.T,0.14054813773717498,1392.1293042867183
2001-08-01,2001,7203.T,-1.9277108433734942,-19061.20481927711
2001-08-02,2001,5802.T,3.888888888888889,38826.666666666664
2001-08-13,2001,4502.T,0.36429872495446264,2021.8579234972676
2001-08-13,2001,2502.T,2.154828411811648,20749.56084597602
2001-08-16,2001,9022.T,1.6666666666666667,14400.0
2001-08-23,2001,7912.T,-1.4063656550703183,-13201.55440414508
2001-08-23,2001,4901.T,-2.8077753779697745,-26168.466260993635
2001-08-27,2001,9502.T,-3.0,-29460.0
2001-08-29,2001,9502.T,-0.851063829787234,-8068.085106382979
2001-08-30,2001,9503.T,-0.2,-1620.0
2001-08-30,2001,6902.T,5.472636815920398,54726.36815920398
2001-09-04,2001,6902.T,0.7425742574257426,7125.0
2001-09-06,2001,7203.T,-1.8867924528301887,-18298.11320754717
2001-09-06,2001,4519.T,1.5642458100558663,15041.787559079334
2001-09-12,2001,1925.T,1.5555555555555556,14311.111111111111
2001-10-19,2001,9531.T,3.2994923857868024,32335.025380710664
2001-11-09,2001,8802.T,-3.0,-27864.0
2001-11-13,2001,8830.T,-0.5405405405405406,-5400.0
2001-11-16,2001,9531.T,5.0,43750.0
2001-11-19,2001,6902.T,5.89582140812822,56617.5729822553
2001-11-20,2001,9502.T,0.2127659574468085,2017.0212765957447
2001-11-21,2001,9501.T,0.18315018315018314,1486.263736263736
2001-11-22,2001,2802.T,2.5559105431309903,23999.999999999996
2001-12-10,2001,2503.T,1.5258215962441315,14383.920187793427
2001-12-14,2001,9503.T,0.3865267807840972,3554.113749309774
2001-12-14,2001,8572.T,1.899441340782123,17284.91620111732
2001-12-18,2001,4151.T,-3.0,-28305.0
2002-01-16,2002,1928.T,3.107658157602664,30697.447280799115
2002-01-17,2002,8572.T,-3.0,-29040.0
2002-01-24,2002,9735.T,-3.0,-27675.0
2002-01-29,2002,9064.T,-3.0,-27420.0
2002-02-04,2002,4452.T,-3.0,-29760.0
2002-02-04,2002,4519.T,1.2121212121212197,11679.999883200073
2002-02-04,2002,9064.T,-3.7717121588089335,-31003.473945409434
2002-02-13,2002,9404.T,0.5566600397614314,4250.099403578529
2002-02-14,2002,2502.T,1.3944223107569724,13916.334522191239
2002-03-06,2002,7733.T,10.891763104152483,105971.40912185157
2002-03-08,2002,9021.T,2.083333333333333,20208.333333333332
2002-03-11,2002,9531.T,-3.0,-25050.0
2002-03-12,2002,9531.T,-0.60790273556231,-6000.0
2002-04-08,2002,9503.T,3.314917127071823,29834.254143646405
2002-04-12,2002,9502.T,-2.669902912621359,-21946.60194174757
2002-04-19,2002,9531.T,1.2698412698412698,11923.809523809523
2002-04-22,2002,9506.T,-0.8750000000000001,-8400.000000000002
2002-04-23,2002,9532.T,-1.048951048951049,-10463.286713286714
2002-04-26,2002,4716.T,-3.0,-21330.0
