ev,win,side,n,gross,net,t,t1,t2,wy,ny
東京寄り09:00,前15→0,買,2739,0.0024109007495726927,-0.0025890992504273075,1.7390266824804157,0.19234385580800561,1.9902628993905231,8,11
東京寄り09:00,前15→0,売,2739,-0.0024109007495726927,-0.007410900749572693,-1.7390266824804157,-0.19234385580800561,-1.9902628993905231,3,11
東京寄り09:00,前10→0,買,2736,0.002208314955486194,-0.002791685044513806,2.130843915019292,0.5614403411987732,2.2370811355789053,8,11
東京寄り09:00,前10→0,売,2736,-0.002208314955486194,-0.007208314955486194,-2.130843915019292,-0.5614403411987732,-2.2370811355789053,3,11
東京寄り09:00,前5→0,買,2728,0.000531567479315341,-0.004468432520684659,0.7041574056571887,0.13926280155421641,0.777742322971968,6,11
東京寄り09:00,前5→0,売,2728,-0.000531567479315341,-0.005531567479315341,-0.7041574056571887,-0.13926280155421641,-0.777742322971968,5,11
東京寄り09:00,0→5,買,2745,-0.003768158016177975,-0.008768158016177975,-2.991498769265742,-0.24471450937569392,-3.3532178035701796,3,11
東京寄り09:00,0→5,売,2745,0.003768158016177975,-0.0012318419838220252,2.991498769265742,0.24471450937569392,3.3532178035701796,8,11
東京寄り09:00,0→10,買,2747,-0.002575040362655451,-0.007575040362655451,-1.5616610431651239,-0.34110993675100604,-1.6317330472793494,3,11
東京寄り09:00,0→10,売,2747,0.002575040362655451,-0.002424959637344549,1.5616610431651239,0.34110993675100604,1.6317330472793494,8,11
東京寄り09:00,0→15,買,2752,-0.0024656670782122153,-0.007465667078212215,-1.2261339672539584,-0.9524779152368332,-0.8471715030209374,2,11
東京寄り09:00,0→15,売,2752,0.0024656670782122153,-0.002534332921787785,1.2261339672539584,0.9524779152368332,0.8471715030209374,9,11
東京寄り09:00,0→30,買,2753,-0.0019943164480330563,-0.006994316448033056,-0.7842054757889996,-0.9112598403487914,-0.3203307374961936,4,11
東京寄り09:00,0→30,売,2753,0.0019943164480330563,-0.003005683551966944,0.7842054757889996,0.9112598403487914,0.3203307374961936,7,11
東京寄り09:00,5→15,買,2745,0.0012915796347859711,-0.0037084203652140288,0.8844615306639894,-1.0054491365173146,1.8522745987956186,6,11
東京寄り09:00,5→15,売,2745,-0.0012915796347859711,-0.0062915796347859715,-0.8844615306639894,1.0054491365173146,-1.8522745987956186,5,11
東京寄り09:00,5→30,買,2749,0.001764487924924473,-0.003235512075075527,0.803340624972421,-0.8982202141734831,1.656334429432339,5,11
東京寄り09:00,5→30,売,2749,-0.001764487924924473,-0.006764487924924473,-0.803340624972421,0.8982202141734831,-1.656334429432339,6,11
東京仲値09:55,前15→0,買,2750,-0.001955643293569655,-0.006955643293569656,-1.3140525831336303,-1.4775561131890702,-0.5290387568189524,3,11
東京仲値09:55,前15→0,売,2750,0.001955643293569655,-0.003044356706430345,1.3140525831336303,1.4775561131890702,0.5290387568189524,8,11
東京仲値09:55,前10→0,買,2741,-0.0013749432005217997,-0.0063749432005218,-1.036526134382347,-1.4670106903685334,-0.17935688994332627,3,11
東京仲値09:55,前10→0,売,2741,0.0013749432005217997,-0.0036250567994782004,1.036526134382347,1.4670106903685334,0.17935688994332627,8,11
東京仲値09:55,前5→0,買,2737,-0.0013136298139529953,-0.006313629813952996,-1.351497207658316,-1.2820985722920906,-0.6835166662696635,3,11
東京仲値09:55,前5→0,売,2737,0.0013136298139529953,-0.0036863701860470046,1.351497207658316,1.2820985722920906,0.6835166662696635,8,11
東京仲値09:55,0→5,買,2739,0.0033879575158574267,-0.0016120424841425734,3.41152883626987,3.7679705798726806,1.5713746709729859,11,11
