side,hold,tp,sl,n,gross,net,win,pf,yrs_pos,yrs,h1,h2,net_yr
買い反発,48,999,8,3428,0.2943780630104997,0.08437806301049916,45.74095682613769,1.0342710047759351,5,11,-0.12595582586427845,0.26044533762057565,27.032523364485154
買い反発,48,999,999,3428,0.26990577596265813,0.059905775962657816,49.562427071178526,1.019712585233506,5,11,-0.08652816901408639,0.18248338692389793,19.192242990653366
買い反発,48,999,2,3428,0.22391686114352452,0.01391686114352426,29.28821470245041,1.0095603735172824,6,11,-0.10384763124199677,0.11249571275455528,4.45859813084123
買い反発,48,999,4,3428,0.19794428238039663,-0.012055717619603603,39.08984830805134,0.9939869422931532,4,11,-0.12587708066581305,0.0832224008574484,-3.8623364485982385
買い反発,24,999,8,3832,0.1688885699373684,-0.04111143006263196,46.47703549060543,0.978698375108661,3,11,-0.17796453089244857,0.07367706333972862,-14.723271028037914
買い反発,48,8,8,3428,0.16410793465577586,-0.04589206534422448,49.44574095682614,0.9790448446292404,4,11,-0.13391741357234338,0.027792604501607004,-14.70261682243005
買い反発,48,4,8,3428,0.1468386814469081,-0.06316131855309222,56.79696616102684,0.9649774279857389,4,11,-0.09723111395646614,-0.03464201500535904,-20.235233644859825
買い反発,24,999,999,3832,0.1396009916492677,-0.07039900835073255,48.98225469728602,0.9682790363949921,3,11,-0.12511727688787283,-0.024502879078697404,-25.212056074767027
買い反発,24,999,2,3832,0.13279201461377727,-0.0772079853862229,33.84655532359081,0.9389315513884725,3,11,-0.17394221967963552,0.003929942418424548,-27.650560747664127
買い反発,48,2,999,3428,0.11600845974328992,-0.0939915402567103,71.64527421236872,0.9283216339845719,2,11,-0.06373623559539057,-0.11931779206859748,-30.11242990654233
買い反発,24,999,4,3832,0.11256758872651218,-0.09743241127348803,41.936325678496864,0.9408474620847116,2,11,-0.16007951945080068,-0.044885796545108686,-34.893551401869736
買い反発,24,8,8,3832,0.09147938413361133,-0.11852061586638896,48.59081419624217,0.9335430961471259,2,11,-0.14554691075514853,-0.0958517274472182,-42.44588785046753
買い反発,48,4,4,3428,0.08446441073512348,-0.12553558926487668,49.47491248541424,0.9227040506119487,3,11,-0.0791587708066575,-0.16435691318327877,-40.218317757009096
買い反発,6,999,8,4422,0.08130777928538822,-0.12869222071461192,45.16056083220262,0.8825160945623637,1,11,-0.1448770451165144,-0.11511850311850493,-53.184766355141484
買い反発,12,999,999,4115,0.07866731470230412,-0.13133268529769612,46.22114216281896,0.9148312436204248,1,11,-0.09104002134471675,-0.16502677376172242,-50.50785046729155
買い反発,48,2,8,3428,0.07716511085180881,-0.13283488914819144,68.64060676779464,0.89756762532477,2,11,-0.11100960307298346,-0.15110450160771705,-42.55682242990657
買い反発,24,4,8,3832,0.07638622129436391,-0.13361377870563634,53.47077244258872,0.9129875298803293,1,11,-0.15293192219679475,-0.11741026871401208,-47.85121495327088
買い反発,6,999,999,4422,0.07605630936227599,-0.1339436906377241,45.816372682044324,0.8818114899060665,1,11,-0.12727516113039633,-0.13953638253638528,-55.35504672897346
買い反発,48,4,2,3428,0.07419019836639508,-0.135809801633605,37.777129521586936,0.893673524946147,1,11,-0.15283610755441665,-0.12155734190782377,-43.50990654205589
買い反発,12,999,8,4115,0.06956938031591495,-0.14043061968408532,45.00607533414338,0.903561231238461,1,11,-0.13441889007470606,-0.14545783132530643,-54.00672897196366
買い反発,48,8,2,3428,0.0684982497082862,-0.14150175029171397,31.271878646441074,0.8998190179633409,3,11,-0.11829385403328907,-0.16092872454447907,-45.33345794392481
買い反発,24,4,2,3832,0.06677244258872611,-0.14322755741127394,39.561586638830896,0.8749216334517079,2,11,-0.1764576659038903,-0.11535508637236157,-51.294205607476805
買い反発,12,999,2,4115,0.06675407047387678,-0.14324592952612336,36.28189550425273,0.8642476027993521,1,11,-0.18653788687299833,-0.10704373047746478,-55.08943925233623
買い反発,6,999,2,4422,0.06418792401628205,-0.14581207598371798,39.258254183627315,0.8318514720731693,0,11,-0.18478780366881756,-0.11312432432432265,-60.25990654205616
買い反発,6,999,4,4422,0.06273043871551026,-0.14726956128448976,43.37403889642696,0.8550299612078127,0,11,-0.15256370847794154,-0.14282952182952424,-60.862242990655496
買い反発,12,8,8,4115,0.056539489671931314,-0.1534605103280689,46.172539489671934,0.8894938581061165,1,11,-0.11513874066168546,-0.18550647032574952,-59.01775700934613
買い反発,24,8,2,3832,0.05554305845511402,-0.15445694154488607,35.07306889352819,0.8751758861371348,0,11,-0.1506338672768893,-0.15766362763915592,-55.31579439252369
売り反発,6,8,4,4180,0.053729665071768955,-0.1562703349282311,44.354066985645936,0.8357545256705046,0,11,-0.1607371370351503,-0.1523152909336968,-61.04766355140244
売り反発,24,4,999,3566,0.052418395961865406,-0.15758160403813476,53.729669097027475,0.897666978435505,2,11,-0.1043140446051802,-0.20392186680649957,-52.51738317756903
買い反発,6,8,8,4422,0.051952962460422136,-0.15804703753957794,45.61284486657621,0.8521054140730534,0,11,-0.14117947446703505,-0.1721933471933489,-65.31626168224427
売り反発,24,4,8,3566,0.049266404935504125,-0.1607335950644961,51.9910263600673,0.8913955198965611,1,11,-0.12930801687763346,-0.18807236497115845,-53.56785046728908
売り反発,6,8,2,4180,0.04695263157894736,-0.1630473684210527,40.4066985645933,0.8041686337307111,1,11,-0.16335455934793647,-0.16277537212449297,-63.695140186915914
買い反発,24,4,4,3832,0.046575939457203466,-0.16342406054279665,48.512526096033405,0.8839009830321518,2,11,-0.1412540045766572,-0.18201967370441458,-58.52719626168195
買い反発,48,8,4,3428,0.04576166861143646,-0.1642383313885637,41.890315052508754,0.9132597125999735,2,11,-0.12882074263764254,-0.19388585209003156,-52.617663551401535
売り反発,6,4,999,4180,0.04505933014353941,-0.16494066985646066,47.84688995215311,0.8279824542362787,2,11,-0.16220631686194592,-0.16736175011276755,-64.43476635514071
買い反発,48,4,999,3428,0.04397403733955638,-0.1660259626604439,60.06417736289381,0.9178911146245445,4,11,-0.036161971830985906,-0.27473311897106195,-53.19037383177586
買い反発,24,2,8,3832,0.0422286012526106,-0.16777139874738958,62.447807933194156,0.8571752285996113,0,11,-0.15374771167047818,-0.17953406909788913,-60.08411214953242
