clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,0,0,15,買,2785,0.0019567985424003326,-0.0030432014575996675,1.1899514936938942,0.6075013071437624,1.0231823108090499,6,11,True
ロンドン,0,0,15,売,2785,-0.0019567985424003326,-0.006956798542400333,-1.1899514936938942,-0.6075013071437624,-1.0231823108090499,5,11,True
ロンドン,0,15,15,買,2785,0.0010634174954745673,-0.003936582504525433,0.7871255795737416,0.40783963501147824,0.6788287272385617,8,11,True
ロンドン,0,15,15,売,2785,-0.0010634174954745673,-0.006063417495474567,-0.7871255795737416,-0.40783963501147824,-0.6788287272385617,3,11,True
ロンドン,0,30,15,買,2785,0.0019303363930939005,-0.0030696636069060994,1.348488088946281,1.2513616038964506,0.7545596908539578,8,11,True
ロンドン,0,30,15,売,2785,-0.0019303363930939005,-0.006930336393093901,-1.348488088946281,-1.2513616038964506,-0.7545596908539578,3,11,True
ロンドン,0,45,15,買,2784,0.0008134409111470593,-0.004186559088852941,0.6062161199892286,0.05833901229072834,0.7190469797587516,7,11,True
ロンドン,0,45,15,売,2784,-0.0008134409111470593,-0.005813440911147059,-0.6062161199892286,-0.05833901229072834,-0.7190469797587516,4,11,True
ロンドン,1,0,15,買,2785,-0.0028613467037960603,-0.007861346703796061,-1.0914100663702002,-0.4614227403068543,-1.005959281046398,4,11,True
ロンドン,1,0,15,売,2785,0.0028613467037960603,-0.0021386532962039398,1.0914100663702002,0.4614227403068543,1.005959281046398,7,11,True
ロンドン,1,15,15,買,2785,0.002119036888912941,-0.002880963111087059,1.1262012468589992,0.12271488886308696,1.2875302780053564,6,11,True
ロンドン,1,15,15,売,2785,-0.002119036888912941,-0.007119036888912941,-1.1262012468589992,-0.12271488886308696,-1.2875302780053564,5,11,True
ロンドン,1,30,15,買,2785,0.004033682746384128,-0.0009663172536158718,2.263596638486751,-1.0220719085480003,3.425721436647229,6,11,True
ロンドン,1,30,15,売,2785,-0.004033682746384128,-0.00903368274638413,-2.263596638486751,1.0220719085480003,-3.425721436647229,5,11,True
ロンドン,1,45,15,買,2785,0.00255674501179277,-0.00244325498820723,1.5104274824299209,1.8015393941908175,0.6044462404074757,6,11,True
ロンドン,1,45,15,売,2785,-0.00255674501179277,-0.00755674501179277,-1.5104274824299209,-1.8015393941908175,-0.6044462404074757,5,11,True
ロンドン,2,0,15,買,2785,0.0015009029015808026,-0.0034990970984191978,0.6124497596454849,-0.09613671944285782,0.8136267269957733,6,11,False
ロンドン,2,0,15,売,2785,-0.0015009029015808026,-0.0065009029015808024,-0.6124497596454849,0.09613671944285782,-0.8136267269957733,5,11,False
ロンドン,2,15,15,買,2785,0.003726057166183032,-0.0012739428338169683,2.002487526866615,2.3161913080663235,0.8088229136716264,8,11,False
ロンドン,2,15,15,売,2785,-0.003726057166183032,-0.008726057166183031,-2.002487526866615,-2.3161913080663235,-0.8088229136716264,3,11,False
ロンドン,2,30,15,買,2785,0.001597528557876286,-0.003402471442123714,0.7946369663129323,0.09236256641464478,0.8938028714756353,8,11,False
