entry,y,ticker,pnl,yen
2017-01-06,2017,6770.T,4.3414812112367756,35947.464429040505
2017-01-10,2017,6479.T,-1.2727272727272727,-12622.909090909092
2017-01-11,2017,7453.T,0.7787448465414567,7671.026110856618
2017-01-12,2017,7649.T,-1.6728935482072156,-14999.999999999998
2017-01-13,2017,2670.T,-1.4106361969248133,-11943.57455212301
2017-01-16,2017,1878.T,-2.3214810461357627,-15772.142227446371
2017-01-17,2017,7735.T,1.7647058823529411,14889.705882352942
2017-01-18,2017,7182.T,2.674591381872214,25405.943536404156
2017-01-19,2017,2802.T,-1.7371937639198218,-15648.641425389755
2017-01-20,2017,8802.T,-3.0,-27024.0
2017-01-23,2017,7974.T,0.31887755102040816,3014.030612244898
2017-01-24,2017,6178.T,2.127659574468085,21119.14893617021
2017-01-25,2017,2331.T,0.9009009009009009,8750.450450450451
2017-01-26,2017,8282.T,1.0731707317073171,9808.243902439026
2017-01-27,2017,1812.T,-1.0062893081761006,-9551.698113207547
2017-01-30,2017,1928.T,-0.5129589632829373,-4737.176025917926
2017-01-31,2017,4751.T,3.7867962274935696,37100.0
2017-02-01,2017,3391.T,-0.9487666034155597,-8045.540796963946
2017-02-02,2017,9064.T,-3.0,-27720.0
2017-02-03,2017,6762.T,-3.0,-29486.1
2017-02-06,2017,7751.T,-0.15337423312883436,-1492.1779141104296
2017-02-06,2017,4183.T,-3.0,-26670.0
2017-02-07,2017,9201.T,0.14306151645207438,997.1387696709584
2017-02-08,2017,4114.T,2.8532608695652173,26570.991847826084
2017-02-09,2017,6460.T,2.0588235294117645,17438.235294117647
2017-02-10,2017,7532.T,0.3593429158110824,3553.9014373716054
2017-02-13,2017,6501.T,1.746031746031746,16431.90476190476
2017-02-14,2017,4543.T,-3.0,-27237.6
2017-02-15,2017,4912.T,-0.47145102147721324,-4497.642744892614
2017-02-16,2017,2501.T,0.07020007020008617,679.0452790454336
2017-02-17,2017,9008.T,0.5617977528089888,5543.258426966293
2017-02-20,2017,8358.T,0.7103393843725335,5402.131018153118
2017-02-21,2017,2501.T,-0.6313574184496707,-6120.000000000039
2017-02-22,2017,2685.T,-3.7800687285223367,-33317.52577319587
2017-02-23,2017,2678.T,-2.4242424242424243,-23890.909090909092
2017-02-24,2017,2802.T,1.9913885898815973,17791.86221743814
2017-02-27,2017,7649.T,2.14206502072025,18421.759178194152
2017-02-28,2017,8697.T,2.4312220089571337,22799.999999999996
2017-03-01,2017,2413.T,0.9113214160532772,9090.43112513144
2017-03-02,2017,4021.T,-3.0,-21780.0
2017-03-03,2017,4666.T,-0.20006668889629878,-1794.5981993998
2017-03-06,2017,4205.T,-1.8867924528301887,-18400.0
2017-03-06,2017,9603.T,1.4903671392221012,12246.346782988005
2017-03-08,2017,2695.T,0.6593406593406593,5986.813186813187
2017-03-09,2017,3659.T,0.6741573033707865,6585.168539325843
2017-03-10,2017,3099.T,1.588502269288956,14555.446293494702
2017-03-13,2017,9024.T,1.4830508474576272,14000.0
2017-03-14,2017,6988.T,-3.0136986301369864,-27536.164383561645
2017-03-16,2017,7867.T,0.08576329331046312,800.0
2017-03-17,2017,5463.T,-1.7672528055138286,-15999.999999999998
2017-03-17,2017,9508.T,0.3448275862068966,3186.206896551724
2017-03-22,2017,8058.T,-0.7545332846537721,-7517.867834976324
