label,n,t,t1,t2,wy,ny,ann,tc2,tt3,pf,win,avg,tot,real,pbo,psd,delta,z,pv,sigtype,mafilt,bbfilt,dirn,trail,e16-19,e20-21,e22-24,e25-26
P5|reversal|MA1|BB1|TP20/SL20|TR0-0|both,327,0.2455242412519158,0.0633971517238834,0.2778051180267282,5,11,7.70909090909036,-0.5124568048070721,-0.0896930830694206,1.0270339199183864,52.90519877675841,0.2593272171253643,84.79999999999414,0.2593272171253643,-0.9932260984892698,1.0940767956853503,1.2525533156146342,1.144849539405514,5,reversal,True,True,both,False,-1.3757894736842229,0.8258823529411828,-0.3011627906975893,2.806557377048974
P5|reversal|MA1|BB1|TP20/SL20|TR0-0|long,211,0.3368512388085222,0.3054916950767146,0.1727773494172443,6,11,8.536363636364099,-0.2688916974832588,-0.078668929402241,1.0468843618933528,53.55450236966824,0.4450236966824893,93.90000000000524,0.4450236966824893,-0.2169739536889101,1.771713843237862,0.6619976503713995,0.373648178512608,5,reversal,True,True,long,False,0.1086956521739268,1.1215686274509882,-0.4774647887322557,1.525581395348705
P5|reversal|MA1|BB1|TP20/SL20|TR0-0|short,118,-0.0502922281647343,-0.5492581609391513,0.4795117992218856,4,11,-0.9727272727282844,-0.4942898003443222,-0.3251667858545864,0.9907343262902574,51.69491525423729,-0.0906779661017877,-10.70000000001096,-0.0906779661017877,-0.7542734460611765,1.9509261098267183,0.6635954799593887,0.3401438304694837,5,reversal,True,True,short,False,-2.769387755102077,0.3166666666666691,,
P5|reversal|MA1|BB1|TP20/SL20|TR5-3|both,338,-1.6562678539064877,-0.9743140808969378,-1.34720674260372,3,11,-30.754545454547426,-2.980395624823961,-1.984976523021306,0.7859944331983637,77.51479289940828,-1.0008875739645609,-338.3000000000216,-1.0008875739645609,-0.953838144434763,0.4535495783646234,-0.0470494295297978,-0.1037360230814133,5,reversal,True,True,both,True,-2.1400000000002173,0.1666666666665944,-0.9415730337077584,-0.8870967741935979
P5|reversal|MA1|BB1|TP20/SL20|TR5-3|long,218,-1.170162715717676,-0.7727379105669322,-0.8750329838027987,3,11,-18.24545454545511,-2.1913496696358616,-1.5590952819205406,0.8070192307692206,77.06422018348624,-0.9206422018348904,-200.70000000000613,-0.9206422018348904,-0.9414108407454442,0.8286165699563312,0.0207686389105536,0.0250642331611208,5,reversal,True,True,long,True,-1.3714285714287768,0.5843137254900346,-1.3310810810808895,-1.4727272727273202
P5|reversal|MA1|BB1|TP20/SL20|TR5-3|short,121,-1.3366080541483634,-1.606984379199336,-0.2598536289138149,2,11,-14.40000000000142,-2.1501233267579734,-1.7604859082825284,0.7179487179486905,77.68595041322314,-1.3090909090910376,-158.40000000001555,-1.3090909090910376,-1.0208971177369357,1.3972662600815562,-0.2881937913541019,-0.2062554572363899,5,reversal,True,True,short,True,-2.8784313725492474,-0.9756756756756316,,
P5|reversal|MA1|BB1|TP15/SL15|TR0-0|both,336,-0.4508977115095358,-0.148754131270806,-0.4797313076751955,4,11,-11.181818181817704,-1.4405237103813575,-0.835463959536106,0.9520542605441684,51.19047619047619,-0.366071428571412,-122.99999999999446,-0.366071428571412,-0.7691604204790552,0.565616961082528,0.4030889919076431,0.7126536501595985,5,reversal,True,True,both,False,-2.0090909090909554,1.4151162790698508,-1.979775280898921,2.1032258064517224
P5|reversal|MA1|BB1|TP15/SL15|TR0-0|long,217,0.1430096867635887,1.0084951147488332,-0.7269283956237752,6,11,2.900000000000691,-0.6367287913804042,-0.3137091923940344,1.0199238023858632,52.995391705069125,0.1470046082949669,31.90000000000784,0.1470046082949669,-0.7801741449367692,1.015738820326222,0.9271787532317362,0.9128121665508035,5,reversal,True,True,long,False,1.0750000000000708,2.052941176470696,-2.4216216216216835,1.2454545454546226
P5|reversal|MA1|BB1|TP15/SL15|TR0-0|short,120,-1.039658128063781,-1.9738015274802043,0.4878053462408988,5,11,-15.518181818182086,-1.62415755726919,-1.317712461495227,0.8258340985613751,47.5,-1.422500000000023,-170.70000000000277,-1.422500000000023,-1.0609614923314976,1.26703130923988,-0.3615385076685253,-0.2853429943143396,5,reversal,True,True,short,False,-4.911764705882509,0.0333333333333642,,
P5|reversal|MA1|BB1|TP15/SL15|TR5-3|both,338,-2.457628491026913,-1.3049097366387912,-2.1313991815543454,2,11,-39.918181818188906,-3.973902914915192,-2.80528422755643,0.713493409891647,71.30177514792899,-1.2991124260357334,-439.1000000000779,-1.2991124260357334,-1.0428432827623235,0.2911039662892238,-0.2562691432734096,-0.8803354572599525,5,reversal,True,True,both,True,-2.3390000000002864,0.4379310344826749,-1.6528089887642528,-1.5516129032261867
