label,n,t,t1,t2,wy,ny,ann,tc2,tt3,pf,win,avg,tot,real,pbo,psd,delta,z,pv,sigtype,mafilt,bbfilt,dirn,trail,e16-19,e20-21,e22-24,e25-26
P40|reversal|MA1|BB1|TP20/SL20|TR0-0|both,336,1.5243191111491985,1.2396126023697194,0.9141124906041128,7,11,51.05454545454441,0.7951480282724036,1.2302327387985414,1.1881091944397915,56.25,1.6714285714285384,561.5999999999889,1.6714285714285384,-0.9708657760400566,0.9978616936256437,2.642294347468595,2.647956489709559,40,reversal,True,True,both,False,2.286363636363658,1.3465753424658025,2.1213483146065912,0.35937499999994005
P40|reversal|MA1|BB1|TP20/SL20|TR0-0|long,195,1.9516825903815125,1.7135367399671826,1.058979304783218,7,11,49.51818181818069,1.3933875764515788,1.5784909043775899,1.334356393100484,58.97435897435898,2.79333333333327,544.6999999999877,2.79333333333327,-0.6169206688875961,0.9143860670372295,3.4102540022208663,3.7295559558017817,40,reversal,True,True,long,False,4.361904761904797,2.36562500000006,4.463157894736518,-1.3999999999999564
P40|reversal|MA1|BB1|TP20/SL20|TR0-0|short,147,-0.006640057273717249,-0.5619992446909412,0.5562785503195125,5,11,-0.14545454545471548,-0.4954017090876594,-0.5049025962708227,0.9988722864392433,52.38095238095239,-0.010884353741508644,-1.6000000000017707,-0.010884353741508644,-0.6849915636348543,0.9144408716340373,0.6741072098933456,0.7371796589633691,40,reversal,True,True,short,False,-0.38800000000002266,-0.4418604651162549,-2.049999999999841,4.654545454545144
P40|reversal|MA1|BB1|TP20/SL20|TR5-3|both,353,-0.5705289300996499,-0.27911253855626605,-0.5093870292178703,5,11,-9.645454545456312,-2.087448678103191,-0.9140850112154222,0.916377679697335,82.71954674220963,-0.30056657223801503,-106.1000000000193,-0.30056657223801503,-0.7211501696744258,0.4246828645548986,0.42058359743641077,0.9903474628702427,40,reversal,True,True,both,True,0.4870689655171271,-1.5615384615386179,-0.04999999999987883,-0.5402985074627618
P40|reversal|MA1|BB1|TP20/SL20|TR5-3|long,202,-0.07081176982125754,-0.6544724693941323,0.5165769902550597,6,11,-0.8909090909105092,-1.2368599625649646,-0.502100486849969,0.9852764423076685,84.15841584158416,-0.04851485148522569,-9.80000000001559,-0.04851485148522569,-1.077168204373262,0.8876191660771107,1.0286533528880364,1.1588904253095786,40,reversal,True,True,long,True,0.6892307692306652,-2.5294117647060315,1.8491525423728854,-1.7659090909091815
P40|reversal|MA1|BB1|TP20/SL20|TR5-3|short,153,-0.7030464090658277,-0.5876917041683517,-0.4187986197739849,6,11,-8.054545454545773,-1.6744941384880432,-1.168219727440675,0.8531167108753234,81.04575163398692,-0.5790849673202841,-88.60000000000348,-0.5790849673202841,-1.1009499198351067,0.8133966895444376,0.5218649525148226,0.6415872589881152,40,reversal,True,True,short,True,0.3365384615383402,-0.7533333333334896,-3.4454545454542154,1.8043478260869108
P40|reversal|MA1|BB1|TP15/SL15|TR0-0|both,342,1.1382462825573143,1.3348869720505985,0.29038466441527067,6,11,28.854545454547203,0.15711874504712603,0.8451907385700689,1.1334566707311977,55.84795321637427,0.9280701754386532,317.4000000000194,0.9280701754386532,-0.6504255954449835,0.5905531595918904,1.5784957708836367,2.6729105504650543,40,reversal,True,True,both,False,1.1115044247788093,1.400000000000083,2.402247191011357,-1.9538461538461982
P40|reversal|MA1|BB1|TP15/SL15|TR0-0|long,195,1.882563884586986,1.5292061927714882,1.1452785638512153,8,11,35.5636363636381,1.132600650276853,1.510113338289839,1.3134113122897004,59.48717948717949,2.0061538461539454,391.2000000000194,2.0061538461539454,-0.7845927473612601,1.2538516319450967,2.7907465935152054,2.2257390925798193,40,reversal,True,True,long,False,2.6476190476191546,2.012500000000106,4.726315789473894,-2.5441860465116943
P40|reversal|MA1|BB1|TP15/SL15|TR0-0|short,149,-0.24424915682250456,-0.46304277258156185,0.09815620713018097,6,11,-4.1272727272726115,-0.8877172833857812,-0.7299941872981516,0.9598265640208857,51.67785234899329,-0.3046979865771724,-45.399999999998684,-0.3046979865771724,-1.2351961695643938,0.9213517979895492,0.9304981829872214,1.009927136428919,40,reversal,True,True,short,False,-0.8240000000000299,1.2454545454546229,-1.7375000000000362,-0.14782608695649774
P40|reversal|MA1|BB1|TP15/SL15|TR5-3|both,355,-0.7096505182936849,-0.1929907079645622,-0.761658552915931,3,11,-10.381818181824839,-2.469372724379966,-1.0220250417496535,0.9048967355096025,78.59154929577464,-0.32169014084527664,-114.2000000000732,-0.32169014084527664,-1.0369712497831949,0.5288778267302086,0.7152811089379183,1.352450552446393,40,reversal,True,True,both,True,0.46410256410240547,-1.513924050633118,0.460869565217295,-1.3626865671646173
