label,n,t,t1,t2,wy,ny,ann,tc2,tt3,pf,win,avg,tot,real,pbo,psd,delta,z,bb,wick,filt,dirn,trail,e16-19,e20-21,e22-24,e25-26
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR0-0|both,3685,-1.635168343536226,-0.4696115443006942,-1.7654074009737108,5,11,-179.59090909090617,-4.073519515389003,-1.8743146574315417,0.9470552763819092,50.58344640434193,-0.5360922659430026,-1975.4999999999648,-0.5360922659430026,-0.7894515986976026,0.2250460040696005,0.2533593327546,1.1258112926823751,2.0,0.5,trend,both,False,-0.19180327868851457,-0.4012841091492694,-0.058473154362440154,-1.8720207253885401
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR0-0|long,2148,-0.06461865947645226,0.4064078068200909,-0.4395978599930384,5,11,-5.181818181818801,-2.0258931185862714,-0.3754701676691478,0.9973117265318439,51.86219739292365,-0.02653631284916463,-57.00000000000563,-0.02653631284916463,-0.22169255459592527,0.3437496127148964,0.19515624174676063,0.5677278883470973,2.0,0.5,trend,long,False,0.23060556464813342,0.09758713136731123,0.7320109439123823,-1.7769053117782299
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR0-0|short,1784,-1.909484601750329,-0.04449348160627499,-2.568751562376848,3,11,-149.15454545454034,-3.5958726018555454,-2.2054104615637478,0.9104719498420296,49.55156950672646,-0.9196748878923442,-1640.699999999942,-0.9196748878923442,-1.0624258562935478,0.37414396544903034,0.1427509684012036,0.38154021335044247,2.0,0.5,trend,short,False,-0.00154905335626834,-0.2822289156626438,-1.5528599605522277,-2.0846153846153106
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR5-3|both,5285,-6.673216719678591,-4.726618659469751,-4.733899987354583,1,11,-462.84545454546225,-12.217410386283222,-6.993352075982693,0.77176938904503,79.5837275307474,-0.963349101229912,-5091.300000000085,-0.963349101229912,-0.922636766274836,0.12326540486247375,-0.04071233495507598,-0.33028192298154063,2.0,0.5,trend,both,True,-0.8952496954934422,-1.0715705765408838,-0.8415519399247914,-1.1535129932626624
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR5-3|long,3073,-3.8639659143057434,-3.196773909636519,-2.3435038924711677,2,11,-196.8545454545532,-8.362841224404635,-4.196838907359441,0.824127092419765,80.60527172144484,-0.7046534331272646,-2165.400000000084,-0.7046534331272646,-0.931636300822247,0.16938991040729368,0.22698286769498244,1.340002289092709,2.0,0.5,trend,long,True,-0.7531003382188767,-0.8925605536333527,-0.24544554455436535,-1.2267558528427325
BB2.0|ヒゲ0.5|trend|TP20/SL20|TR5-3|short,2412,-6.018057197327574,-3.4925050361379886,-4.954291457969198,1,11,-280.17272727272854,-9.86582213261987,-6.3704371426601005,0.7153610285017574,78.3167495854063,-1.277736318407966,-3081.900000000014,-1.277736318407966,-1.0429000504783652,0.18943656408140885,-0.23483626792960077,-1.2396564996221202,2.0,0.5,trend,short,True,-0.9453681710215064,-1.2673346693387815,-1.8609120521171125,-1.1179431072208892
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR0-0|both,4334,-1.8134442392302168,-0.2835697508636896,-2.1709491533163283,3,11,-160.7363636363584,-5.362627878680328,-2.04884181380484,0.9467495896516972,51.24596215966775,-0.40796031379786324,-1768.0999999999392,-0.40796031379786324,-0.713912981229777,0.17367552032413275,0.30595266743191374,1.761633803433613,2.0,0.5,trend,both,False,0.06952887537997136,-0.512077922077913,-0.31456808199119757,-1.1741496598639596
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR0-0|long,2459,-0.46284419252071163,0.08681032929182743,-0.6788517048789846,6,11,-30.87272727272217,-3.1709592639083177,-0.7640733980464245,0.9816506821558865,52.17568117120781,-0.1381049206994479,-339.5999999999424,-0.1381049206994479,-0.37209950182534135,0.19647650434591277,0.23399458112589344,1.1909545210246975,2.0,0.5,trend,long,False,0.11583452211130435,-0.39771167048053707,0.17683956574189177,-0.7999999999999999
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR0-0|short,2023,-2.2009132288024715,0.09222852146686526,-3.102582378672938,4,11,-132.8727272727268,-4.669068164132046,-2.4863853910627802,0.9075176694655218,50.12357884330203,-0.7224913494809654,-1461.5999999999929,-0.7224913494809654,-0.964404182530512,0.21512337659631836,0.24191283304954658,1.1245306617862314,2.0,0.5,trend,short,False,0.1517189835575832,-0.5745454545454448,-1.2478647686832884,-1.5739557739558034
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR5-3|both,5530,-8.108028727219208,-5.413596445457924,-6.035757926671728,0,11,-484.2909090910092,-14.806377839106492,-8.476313060627716,0.754674231399741,75.11754068716094,-0.9633273056059858,-5327.200000001101,-0.9633273056059858,-0.9620421140026219,0.11170489191589895,-0.0012851916033639332,-0.01150524011366965,2.0,0.5,trend,both,True,-0.8180979827091406,-1.0798104265404769,-0.9074185765984796,-1.1682994454715898
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR5-3|long,3157,-4.869096521314244,-3.5850393651913737,-3.3337537003966977,2,11,-212.3545454546017,-10.244343955481133,-5.267249723482633,0.8022150157065836,76.24326892619575,-0.7399113082041869,-2335.900000000618,-0.7399113082041869,-0.9791198127288375,0.09939685252959489,0.2392085045246506,2.4066003946495944,2.0,0.5,trend,long,True,-0.6903825136614213,-0.8996610169493517,-0.4682170542637097,-1.1132258064518572
BB2.0|ヒゲ0.5|trend|TP15/SL15|TR5-3|short,2481,-6.986630717847708,-4.122564473200052,-5.704003565340387,0,11,-280.1181818182274,-11.534223490118862,-7.390554839099907,0.7022610880277912,73.59935509875051,-1.2419588875455467,-3081.3000000005013,-1.2419588875455467,-1.0828589884458206,0.14626396056068294,-0.1590998990997261,-1.0877587239524922,2.0,0.5,trend,short,True,-0.9386651323362132,-1.2236220472442683,-1.6180094786731942,-1.3159235668792177
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR0-0|both,2861,0.1784527819021456,0.11930728261576554,0.1328139904979303,5,11,24.781818181820327,-1.3199525378445693,-0.0513827556015887,1.0067430016004117,51.345683327507864,0.09528137015030595,272.6000000000253,0.09528137015030595,-0.2908847345907623,0.3745381364068847,0.3861661047410683,1.0310461531253825,2.0,0.5,trend,both,False,0.047562425683692566,-0.01148936170212161,0.7945089757128239,-0.8530679933665138
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR0-0|long,1715,1.7268101991695162,0.16458565347620302,2.071698917933566,7,11,182.00000000000708,0.5454140983096482,1.4906026481240504,1.0865374224642868,53.119533527696795,1.1673469387755562,2002.0000000000787,1.1673469387755562,0.4041949527409977,0.33678779155153,0.7631519860345585,2.265972832681475,2.0,0.5,trend,long,False,0.5894845360824515,-0.38338870431893074,2.7003412969284417,0.7262390670554552
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR0-0|short,1507,-1.0096262031059002,1.0166372437867455,-2.354154991725291,4,11,-103.96363636364119,-2.0849898228323522,-1.341030882918817,0.94758336198006,49.966821499668214,-0.7588586595886215,-1143.6000000000527,-0.7588586595886215,-0.8709292685973317,0.32309297890677136,0.11207060900871013,0.34686798019541043,2.0,0.5,trend,short,False,1.157959183673444,0.6760000000000048,-2.4543378995434195,-2.7036184210527083
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR5-3|both,4981,-4.0416414702412755,-2.9203859036045485,-2.8092270717602315,1,11,-331.97272727279784,-8.490650333723403,-4.360877828328476,0.8360672664260119,85.10339289299338,-0.7331258783378388,-3651.700000000775,-0.7331258783378388,-0.7196569561497566,0.14022918196082923,-0.013468922188082266,-0.09604935292173775,2.0,0.5,trend,both,True,-0.7153047989624602,-0.9288172043011202,-0.46408404464892844,-0.9919878296149098
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR5-3|long,2989,-2.1527875408570396,-2.7978867139909918,-0.3799956130681981,4,11,-133.94545454549504,-5.743399718231032,-2.4292514681346695,0.8838983184403867,85.81465373034459,-0.492940782870674,-1473.4000000004446,-0.492940782870674,-0.7205502895849434,0.1418687144718378,0.22760950671426938,1.6043671612986379,2.0,0.5,trend,long,True,-0.8184544405998605,-1.0884955752212935,0.2941836734692287,-0.7575389948010027
BB2.0|ヒゲ0.5|trend|TP30/SL30|TR5-3|short,2351,-4.033882381187905,-1.363070929668162,-4.2627382147900725,2,11,-234.1090909091243,-7.071086845568824,-4.429733464867423,0.7711075755286043,84.04934070608252,-1.0953636750320572,-2575.200000000367,-1.0953636750320572,-0.8622560582944381,0.3121717873508941,-0.23310761673761915,-0.7467286480811812,2.0,0.5,trend,short,True,-0.49467312348674203,-1.0676891615542237,-1.8427609427612373,-1.2441176470591113
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR0-0|both,4603,-1.9920197261144825,-0.44110293507931253,-2.273726487014143,3,11,-176.32727272717204,-5.742705771399326,-2.2713059216631803,0.9401625815607523,34.67303932218119,-0.42137736258937425,-1939.5999999988896,-0.42137736258937425,-0.6176651419810133,0.1387532318459369,0.19628777939163905,1.4146537473778267,2.0,0.5,trend,both,False,-0.11169296987041055,-0.04603174603127954,-0.40344352617075907,-1.2371002132195912
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR0-0|long,2599,-0.025899398020212034,1.0410724109427323,-0.9736942908035814,6,11,-1.6818181817664415,-2.9507938810326344,-0.30706541699182865,0.9989673861473772,36.0908041554444,-0.007118122354532153,-18.499999999429065,-0.007118122354532153,-0.38888794468740134,0.15006134131674423,0.3817698223328692,2.54409176262821,2.0,0.5,trend,long,False,0.18267929634687352,0.6801762114542047,0.22790432801823363,-1.2545454545454289
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR0-0|short,2094,-2.991292466224553,-1.2143623085670001,-2.979530907965304,2,11,-174.445454545403,-5.625219103894486,-3.4483133755462934,0.8729449311059776,32.999044890162374,-0.9163801337151055,-1918.899999999431,-0.9163801337151055,-0.834817530927559,0.29796857125921133,-0.08156260278754657,-0.2737288783272144,2.0,0.5,trend,short,False,-0.2392128279878709,-1.0561712846342874,-1.440646258503314,-1.1546099290779945
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR5-3|both,5900,-10.393175999071408,-7.510875437201163,-7.226629409469329,0,11,-540.2636363635725,-18.43167905073106,-10.818304067003167,0.7226469160693134,66.37288135593221,-1.0072711864405588,-5942.8999999992975,-1.0072711864405588,-1.0314473456276376,0.070503683766524,0.024176159187078827,0.34290632624444456,2.0,0.5,trend,both,True,-1.019989310529021,-1.035201401050652,-0.898049340217876,-1.12499999999991
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR5-3|long,3334,-6.478001955802478,-4.89123705906744,-4.329379212873003,0,11,-253.01818181814994,-12.676538148771524,-6.961680210085501,0.7616490678176746,67.54649070185963,-0.8347930413916166,-2783.1999999996497,-0.8347930413916166,-1.0540283693584838,0.09818556700394954,0.21923532796686718,2.232867158144011,2.0,0.5,trend,long,True,-0.8787037037036147,-0.9343548387095489,-0.5926605504585876,-1.079447852760667
BB2.0|ヒゲ0.5|trend|TP20/SL10|TR5-3|short,2605,-8.72825802009746,-6.115467377373814,-6.2261702277975575,0,11,-291.2090909090585,-14.294382178639355,-9.121173804137085,0.6769043008149953,64.76007677543187,-1.2296737044144506,-3203.2999999996437,-1.2296737044144506,-0.970078747355587,0.13714646942599812,-0.2595949570588636,-1.8928300389018515,2.0,0.5,trend,short,True,-1.1400437636760234,-1.1827777777776294,-1.412366412213584,-1.2046370967740743
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR0-0|both,4483,-4.152917139678613,-1.337195641007701,-4.396861391962347,1,11,-358.6454545455492,-7.920728498928186,-4.35146648401108,0.8735650234274989,66.16105286638413,-0.880013383894945,-3945.1000000010386,-0.880013383894945,-0.829977420836037,0.17681385397523577,-0.050035963058908006,-0.2829866661122377,2.0,0.5,trend,both,False,-0.38346686088904,-0.5220481927715583,-1.01108695652177,-1.7666666666666115
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR0-0|long,2589,-2.2256135061895623,-0.7077871521112734,-2.344374207128031,3,11,-141.10909090914743,-5.243894944684928,-2.4877072094696726,0.9114379774857415,67.09154113557358,-0.5995365005796139,-1552.2000000006205,-0.5995365005796139,-0.6761231746616027,0.2578500748489673,0.07658667408198871,0.2970201739396371,2.0,0.5,trend,long,False,-0.2536486486491242,-0.5294979079502682,-0.37806004618944755,-1.5524752475247097
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR0-0|short,2124,-3.889709805049121,-0.8127802962721128,-4.6090178534408555,1,11,-234.7636363636818,-6.506266656795755,-4.149299044374727,0.8308153932834191,65.01883239171374,-1.2158192090397828,-2582.4000000004985,-1.2158192090397828,-1.2890434414553282,0.17588199294465479,0.07322423241554543,0.4163259193827027,2.0,0.5,trend,short,False,-0.48980446927421706,-0.2668202764981693,-2.2226785714285433,-2.104347826086882
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR5-3|both,5285,-8.082661357200436,-5.557567166729708,-5.877324849922787,1,11,-547.1727272727576,-13.741341142909308,-8.317790668319079,0.7301873344181403,79.5837275307474,-1.1388647114475559,-6018.9000000003325,-1.1388647114475559,-1.181400910372855,0.10563154310047904,0.04253619892529925,0.4026846307152579,2.0,0.5,trend,both,True,-1.0283191230209,-1.2131212723659837,-1.014142678347869,-1.4334937439845425
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR5-3|long,3073,-4.957644686131919,-3.9315544768128428,-3.1463449758760964,2,11,-247.0727272727482,-9.55285022188438,-5.245110620348692,0.7792613890174636,80.60527172144484,-0.8844126260983499,-2717.8000000002294,-0.8844126260983499,-1.0960500572027854,0.13822738125073608,0.21163743110443545,1.5310818246678493,2.0,0.5,trend,long,True,-0.9096956031569193,-1.0730103806230276,-0.4518811881187705,-1.395150501672198
BB2.0|ヒゲ0.5|trend|TP10/SL20|TR5-3|short,2412,-7.045281079932228,-3.9901823283452136,-5.900497360548317,0,11,-318.6090909091021,-10.994969513017145,-7.291875315401749,0.6763119493137607,78.3167495854063,-1.4530265339967345,-3504.7000000001235,-1.4530265339967345,-1.3590436110261994,0.0843267783191386,-0.09398292297053512,-1.114508639412885,2.0,0.5,trend,short,True,-1.0760095011878321,-1.3559118236474401,-1.9745928338761158,-1.5529540481399573
