n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost
6586,-0.037171233794514924,-5.177765884774418,-3.4845138170832857,-3.8784367191799403,0.15384615384615385,26,-9.415759452718284,CHFSGD.,MA5/20,0.1524685890834192
6586,-0.029770583971875528,-4.168727328341693,-2.468238389685831,-3.5036343440578004,0.07692307692307693,26,-7.541117924568168,CHFSGD.,MA10/50,0.1524685890834192
6586,-0.02255383484466413,-3.1819536408264946,-1.636261309586086,-2.943597925051517,0.15384615384615385,26,-5.713059857190692,CHFSGD.,MA20/100,0.1524685890834192
6586,-0.017969493549308418,-2.5623931479078896,-0.6625582488999796,-3.077714055808651,0.2692307692307692,26,-4.551810942913281,CHFSGD.,MA50/200,0.1524685890834192
6586,-0.04346712682567096,-6.05467180411635,-4.00063225546558,-4.618958603857417,0.038461538461538464,26,-11.010557587456503,CHFSGD.,モメ20,0.1524685890834192
6586,-0.03950471759724397,-5.524983591817809,-3.086821438834452,-4.8495550267856675,0.038461538461538464,26,-10.006848849824959,CHFSGD.,モメ60,0.1524685890834192
6586,-0.043312701291271176,-6.111729803522351,-3.776016490997421,-4.942917565330084,0.11538461538461539,26,-10.97144041170431,CHFSGD.,モメ120,0.1524685890834192
6586,-0.03102119576144643,-4.432241447007226,-2.0164565308335543,-4.360856201437629,0.23076923076923078,26,-7.857907510957164,CHFSGD.,モメ250,0.1524685890834192
6586,-0.026207458028734608,-7.019791705629459,-3.746723876532253,-6.8485803116611645,0.07692307692307693,26,-6.638550714509467,CHFSGD.,逆張z1_1日,0.1524685890834192
6586,-0.059930914632682776,-15.531326152866194,-10.664528927498518,-11.76957926006843,0.0,26,-15.180961683494186,CHFSGD.,順張z1_1日,0.1524685890834192
6586,-0.013943996728963974,-2.295353315806239,-1.8087541298315322,-1.434008044519097,0.3076923076923077,26,-3.532121632959876,CHFSGD.,逆張z1_3日,0.1524685890834192
6586,-0.0642975820905086,-10.496403005658697,-7.433905732939285,-7.409546811241165,0.0,26,-16.287072140311142,CHFSGD.,順張z1_3日,0.1524685890834192
6586,-0.010005092854497551,-1.5185341556013865,-1.2873217025282637,-0.8444012311847943,0.3076923076923077,26,-2.5343669822969583,CHFSGD.,逆張z1_5日,0.1524685890834192
6586,-0.06473267502249895,-9.77003506779221,-6.507603394739977,-7.353090260792029,0.0,26,-16.39728452685301,CHFSGD.,順張z1_5日,0.1524685890834192
6586,-0.03251066427740262,-4.533472985920351,-3.2503140226942335,-3.1688461602272304,0.11538461538461539,26,-8.235201343498991,CHFSGD.,ドンチャン20,0.1524685890834192
6586,-0.02674792360527424,-3.7650418598846187,-1.968193889963674,-3.4504485930535744,0.15384615384615385,26,-6.77545480247447,CHFSGD.,ドンチャン55,0.1524685890834192
6586,-0.03385137223656957,-12.357209618161667,-7.1608184820712335,-11.102067357636445,0.0,26,-8.57481298269412,CHFSGD.,月曜買,0.1524685890834192
6586,-0.031538079782709255,-11.583908047571194,-7.674441900178885,-9.180832462451024,0.0,26,-7.9888382095739665,CHFSGD.,月曜売,0.1524685890834192
6586,-0.03397248978624542,-10.413887353765238,-5.242452017169988,-11.587540172443957,0.0,26,-8.605492989700473,CHFSGD.,火曜買,0.1524685890834192
6586,-0.031516262843541046,-9.705540180335662,-6.3450610111728025,-8.51615328792002,0.0,26,-7.983311811060049,CHFSGD.,火曜売,0.1524685890834192
6586,-0.03262633970882902,-11.210901306875613,-5.859888944340998,-11.086926693749813,0.07692307692307693,26,-8.264502820090305,CHFSGD.,水曜買,0.1524685890834192
6586,-0.03281276261570361,-11.270033460383805,-7.821824021837612,-8.548000105731793,0.0,26,-8.311725176424,CHFSGD.,水曜売,0.1524685890834192
6586,-0.026975707950498473,-6.146381109343627,-6.527258004458264,-2.9414705514564607,0.038461538461538464,26,-6.833154329307036,CHFSGD.,木曜買,0.1524685890834192
6586,-0.038413744068780335,-8.65107600046909,-6.506071884764717,-6.029339095993888,0.0,26,-9.73049686296105,CHFSGD.,木曜売,0.1524685890834192
