label,n,t,t1,t2,wy,ny,ann,tc2,tt3,pf,win,avg,tot,smas,bb,mtf,tp,sl,trail,dirn
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR0-0|both",621,0.2316179931389209,-0.06216973163223,0.3699342750340626,7,11,10.545454545453346,-0.7612194850784968,-0.11573172385021,1.0193960472193404,52.17391304347826,0.18679549114329672,115.99999999998727,"(10, 25, 75)",3.0,True,20,20,False,both
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR0-0|long",430,0.9794663312661885,0.8011829655781879,0.5950391765374679,7,11,36.6818181818172,0.1446401091959678,0.6211775171995336,1.1018630717964246,54.18604651162791,0.9383720930232312,403.4999999999894,"(10, 25, 75)",3.0,True,20,20,False,long
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR0-0|short",206,-1.1514170594197402,-0.9391528910145969,-0.6870972333143771,4,11,-29.609090909091265,-1.7374630578435635,-1.6087754533253797,0.8496167697848337,47.57281553398058,-1.5810679611650664,-325.7000000000037,"(10, 25, 75)",3.0,True,20,20,False,short
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR5-3|both",690,0.11786566154018616,-1.5033556617390553,1.516433190360326,5,11,3.081818181812697,-1.8039845191188209,-0.18859590138830565,1.012494931996587,81.01449275362319,0.04913043478252134,33.89999999993972,"(10, 25, 75)",3.0,True,20,20,True,both
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR5-3|long",481,1.129407006600673,-0.19210111944980285,1.6841522747127027,8,11,23.59090909090493,-0.5467414383132324,0.7847914730342405,1.1520745428973045,82.74428274428274,0.5395010395009447,259.4999999999544,"(10, 25, 75)",3.0,True,20,20,True,long
"SMA10/25/75|BB20,3.0|MTF1|TP20/SL20|TR5-3|short",217,-1.6145972430022337,-2.382276063179244,0.03577139917895166,4,11,-25.11818181818313,-2.6357385504545414,-2.097828816776397,0.7417515655668611,76.036866359447,-1.2732718894009878,-276.30000000001434,"(10, 25, 75)",3.0,True,20,20,True,short
"SMA10/25/75|BB20,3.0|MTF1|TP15/SL15|TR0-0|both",648,-0.4814271051091311,0.30069452776762257,-0.9457120781667689,4,11,-16.790909090907814,-1.8330373566672076,-0.7898182717503361,0.9625164890918357,51.54320987654321,-0.28503086419750856,-184.69999999998555,"(10, 25, 75)",3.0,True,15,15,False,both
"SMA10/25/75|BB20,3.0|MTF1|TP15/SL15|TR0-0|long",446,0.3907600222400688,1.4155250793177776,-0.7927836008464462,5,11,11.32727272727444,-0.7295062400224124,0.03526984473712851,1.038279569892477,53.36322869955157,0.2793721973094602,124.60000000001926,"(10, 25, 75)",3.0,True,15,15,False,long
"SMA10/25/75|BB20,3.0|MTF1|TP15/SL15|TR0-0|short",212,-1.300986843139142,-1.3171763454597085,-0.51575031204648,4,11,-25.409090909091216,-2.0966485449400216,-1.7498325127611938,0.8375661068169963,48.113207547169814,-1.3183962264151097,-279.50000000000324,"(10, 25, 75)",3.0,True,15,15,False,short
"SMA10/25/75|BB20,3.0|MTF1|TP15/SL15|TR5-3|both",694,-0.08886843917389588,-1.4480558450608314,1.1324760926382287,5,11,-1.9454545454664987,-2.398264963969654,-0.41942837414649425,0.9914587906604946,77.08933717579251,-0.03083573487050642,-21.400000000131456,"(10, 25, 75)",3.0,True,15,15,True,both
