n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost,swl,sws,frm
3887,-0.00039922125933126225,-0.02383501339205297,-1.9524781249268202,1.339361757565431,0.4375,16,-0.09698581468878453,US500Cash,MA5/20,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.00817361995777356,0.4943379759441056,0.09733289127955322,0.5304135924771409,0.5625,16,1.9856787984916182,US500Cash,MA10/50,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.003978458823495268,0.24402085209191737,0.019654367437679624,0.2774273104191957,0.3125,16,0.9665168404328855,US500Cash,MA20/100,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.01921448462718582,1.1859757054651396,1.1786434611535535,0.659445112535144,0.625,16,4.667918859116959,US500Cash,MA50/200,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.00017644897052516162,-0.010541748632304577,-0.9973492818840294,0.6849991334783779,0.625,16,-0.04286607177695456,US500Cash,モメ20,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.01590703567419979,0.9667014505407507,0.2608771624229158,0.9869342211798556,0.625,16,3.864415479100916,US500Cash,モメ60,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.012301674464794087,0.7550863939840492,0.9522433188489676,0.2862964994422933,0.5,16,2.9885380402909165,US500Cash,モメ120,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.019787706318245606,1.231600752774865,1.3969450194740005,0.5900395411863502,0.5625,16,4.807175903688796,US500Cash,モメ250,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.014622487781724208,1.3694865558874687,0.5636465831932382,1.2644571684584223,0.625,16,3.552350625472624,US500Cash,逆張z1_1日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.02114019967370787,-1.978957900957735,-1.1090425261331156,-1.639842096478868,0.375,16,-5.135747258231406,US500Cash,順張z1_1日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.0018807910427265163,0.13315997588343378,-0.5213272386630893,0.5239035348916745,0.625,16,0.45691467394237373,US500Cash,逆張z1_3日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.00858741327864405,-0.607930326391879,0.12012910381109759,-0.8233915570885332,0.375,16,-2.086204713380587,US500Cash,順張z1_3日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.005562060950348076,-0.36359655943322783,-0.6710229168216728,0.031171388947637376,0.5625,16,-1.351233182125183,US500Cash,逆張z1_5日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.0013617433089468955,-0.08901506997991146,0.2920328991386702,-0.3170053903221505,0.4375,16,-0.33081851511728466,US500Cash,順張z1_5日,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.0023855168863479784,-0.1431908236285925,-1.6214772018290886,0.9438286472588299,0.5625,16,-0.579531508577158,US500Cash,ドンチャン20,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.0067260223235219695,0.40724258788389883,-0.06130716960761723,0.5315542156687453,0.6875,16,1.6340030482206236,US500Cash,ドンチャン55,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.011935711019823604,1.5504520222722562,-0.15015614747672038,2.028263198443119,0.5625,16,2.899631795878397,US500Cash,月曜買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.016889760900668932,-2.1912492456829638,-0.392790753837136,-2.424608524537786,0.3125,16,-4.103156288806258,US500Cash,月曜売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.01071046111687878,1.493371298280333,2.012718686268947,0.34272487806494933,0.625,16,2.6019726475817393,US500Cash,火曜買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.015722190750541196,-2.189283605156175,-2.5787920212654254,-0.7840503634284579,0.25,16,-3.8195097154596014,US500Cash,火曜売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.01334982017638112,1.7255615426899191,1.1068801084003665,1.326176164285868,0.75,16,3.2431719390995886,US500Cash,水曜買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.018348732087195292,-2.368495768055151,-1.6430415836542251,-1.7267731921283302,0.125,16,-4.4575951014330055,US500Cash,水曜売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.0031607071105990902,0.4041097388902889,1.1911671412734839,-0.33681979199182155,0.625,16,0.7678542836811673,US500Cash,木曜買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.008172436744261507,-1.0443852398907034,-1.7504234084128039,-0.05255235586610366,0.25,16,-1.9853913515590291,US500Cash,木曜売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.0013515352723643586,0.1783428577189994,-0.03143434299119256,0.24424936766694869,0.4375,16,0.32833860023001604,US500Cash,金曜買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.006286358568937321,-0.8292377800474332,-0.5201175237229803,-0.6467561039846605,0.4375,16,-1.5271922348412104,US500Cash,金曜売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.0034607347929833778,0.703904339691811,0.21460772044518212,0.7255591200116644,0.625,16,0.8407422587703993,US500Cash,月末2日買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.0048193132385498565,-0.9789265793826333,-0.4387231840185101,-0.8992543397803568,0.25,16,-1.1707919098902058,US500Cash,月末2日売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.00503833110259967,0.9594717232938494,-0.13016671086482068,1.4923529687585235,0.5625,16,1.2239995622378077,US500Cash,月初2日買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.00639690954816615,-1.2166689364860446,-0.05386636256732847,-1.671547781592802,0.4375,16,-1.5540492133576143,US500Cash,月初2日売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,0.05090912557624785,2.9954696725495404,2.3479769336276837,1.9918270143972052,0.8125,16,12.367735694679716,US500Cash,常時買,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
3887,-0.055018588171403364,-3.2371701997396043,-2.552239673668312,-2.141633460624508,0.1875,16,-13.366078263890298,US500Cash,常時売,0.010403567383258084,-0.004641095890410958,0.000536986301369863,2011-08-09
