elog,med,p10,stop,dd,p10_1y,med_1y,jp,us,de,mult
5.196471903775861,972.8536860219008,21.616888239621332,1.6666666666666667,-63.145638483698164,5.850341658177978,9.844201281686942,7000,25000.0,40000.0,1.0
5.476210465220543,1195.471441548878,31.71452818138707,0.0,-61.79593581671785,6.135697919095989,10.217084339890583,7000,25000.0,40000.0,1.5
5.591612949161492,1331.3280637462224,39.45130951148383,0.0,-63.68948693794447,6.252283940436429,10.385935502170998,7000,25000.0,40000.0,2.0
5.141690202188863,892.0533152256087,23.96064128277431,0.0,-60.84239068200138,6.537220428505224,9.77770669044141,7000,25000.0,50000.0,1.0
5.33602117034813,1096.3296107715175,30.231005993616353,0.0,-59.752847299639086,6.998901713399477,10.485381413631597,7000,25000.0,50000.0,1.5
5.450897154325885,1167.6912993409398,35.05208084468506,0.0,-62.39005222067425,6.974900758560242,10.296999748607357,7000,25000.0,50000.0,2.0
4.947229492233467,719.1781548759759,22.9738701432731,0.0,-54.643449813969,5.9345280755262015,11.542973120464413,7000,25000.0,80000.0,1.0
5.155641666519068,881.94235704576,30.91169342562886,0.0,-57.113110945104935,6.212086119894947,11.767120048760193,7000,25000.0,80000.0,1.5
5.280414555172322,937.475186780183,37.605505216374496,0.0,-60.86633567277744,6.691678230757204,11.604453187065053,7000,25000.0,80000.0,2.0
4.524229497269267,487.9382997576406,20.115128142781014,0.0,-51.68473405499415,5.9345280755262015,12.205653458123065,7000,25000.0,1000000000000.0,1.0
4.692050954867023,579.2336007777262,25.059944030992927,0.0,-55.28715232464621,6.212086119894947,12.309632029797191,7000,25000.0,1000000000000.0,1.5
4.820400834410915,595.416248242559,34.07334372242594,0.0,-58.57327266556565,6.411693445086729,12.335337056892953,7000,25000.0,1000000000000.0,2.0
5.195398621029985,936.3929799091727,25.987410146445267,0.3333333333333333,-61.31504702168565,6.015513479074061,10.016997962619149,7000,31250.0,40000.0,1.0
5.417878919759369,1107.1409753675837,31.723564849410405,0.0,-60.214254916776035,6.124508158486219,10.316630498941809,7000,31250.0,40000.0,1.5
5.537945582585376,1258.0858158960932,39.53410869461729,0.0,-63.0092438142475,6.698530044151656,10.598726491658217,7000,31250.0,40000.0,2.0
5.101795206772417,877.5746019895091,24.061743805345838,0.0,-58.34364716013092,6.5835732979839685,11.44096017675231,7000,31250.0,50000.0,1.0
5.254555223717394,1035.861792861321,28.860856147684128,0.0,-59.03979787413165,6.507290855874779,10.872275998871913,7000,31250.0,50000.0,1.5
5.412680573026458,1147.6214411807803,40.50080631937217,0.0,-61.09472082247744,6.8803959649255875,11.090960559219624,7000,31250.0,50000.0,2.0
4.858067709980088,683.6294931955175,23.362292230697225,0.0,-53.62090598962187,5.971782595820655,11.204256635094193,7000,31250.0,80000.0,1.0
5.081889211233929,825.6994564772716,31.65936362956284,0.0,-55.303657629600366,6.6650768708886226,11.528939330044551,7000,31250.0,80000.0,1.5
5.233182948173981,963.8178826432,37.99012002326053,0.0,-60.21296453499553,6.807798247709317,12.169768542929726,7000,31250.0,80000.0,2.0
4.4373269801450546,446.530537689708,21.379360127764738,0.0,-49.68277119116136,5.971782595820655,12.049298608431899,7000,31250.0,1000000000000.0,1.0
4.616250383596809,522.5577743010859,25.048239506274165,0.0,-54.240933865000905,6.198440049378003,12.354561845015226,7000,31250.0,1000000000000.0,1.5
4.753785285325449,593.5102915855432,35.3422215070507,0.0,-57.916338449761454,6.671673855159519,12.731133334025166,7000,31250.0,1000000000000.0,2.0
5.139995914327676,909.8507552750932,27.289795461185754,0.0,-56.98750678720208,6.017162809363258,10.505827190892768,7000,40000.0,40000.0,1.0
5.352640637718569,1100.053798459,34.44275098871783,0.0,-59.668252834168015,6.301964170198906,10.504435655957852,7000,40000.0,40000.0,1.5
5.507227777966827,1280.0557873775854,40.73891443372864,0.0,-62.33627579574924,6.833770032630496,10.867367989381382,7000,40000.0,40000.0,2.0
5.026571643136658,802.4332064035973,24.415844931797672,0.0,-56.00434871162512,6.422599364985691,11.256556246732242,7000,40000.0,50000.0,1.0
5.237815555617959,991.7942711397029,34.24639925108643,0.0,-58.054759412877,6.725449456448086,10.898008680708413,7000,40000.0,50000.0,1.5
5.370283138887876,1069.110933906011,40.89928857381273,0.0,-60.52103727306437,6.833770032630496,10.869911512949631,7000,40000.0,50000.0,2.0
4.832395368128753,649.231600611781,25.08302553125504,0.0,-52.57583516601895,6.178971289169219,11.296413455051825,7000,40000.0,80000.0,1.0
5.021293720033452,793.0762840917989,33.26375593127766,0.0,-54.515085666393084,6.7883387493670115,11.767613125821713,7000,40000.0,80000.0,1.5
5.158480685383095,884.483457791352,40.17734158831043,0.0,-59.69225150755393,6.777814829277363,12.034604412841333,7000,40000.0,80000.0,2.0
4.393824810837256,406.92067343580845,21.320595277328362,0.0,-47.2340811393611,6.178971289169219,12.346335611163019,7000,40000.0,1000000000000.0,1.0
4.5622603326522615,488.63583632112324,29.052255124285182,0.0,-52.91918618134886,6.535114259726973,12.373477829108127,7000,40000.0,1000000000000.0,1.5
4.699287267805987,576.5966221135127,37.80355330105847,0.0,-57.357450433576986,6.777814829277363,12.641519589453965,7000,40000.0,1000000000000.0,2.0
4.86992828200634,718.4760645001361,28.556375581846165,0.0,-54.49408407602838,6.464294762921132,11.038473269547854,7000,1000000000000.0,40000.0,1.0
5.102272848399084,908.959813239133,35.845570621177295,0.0,-57.44496280065159,6.7618068745867,11.143848568038045,7000,1000000000000.0,40000.0,1.5
5.274877339207652,1066.942998075342,42.79542233711365,0.0,-58.709955825163554,6.69410992992971,11.665478672748513,7000,1000000000000.0,40000.0,2.0
4.751975889965994,659.1151492378959,26.524392800739093,0.0,-52.76002446094195,6.264958457998811,11.347292624614207,7000,1000000000000.0,50000.0,1.0
4.981297837957671,795.2119541843725,37.13820874643724,0.0,-54.69666187912397,6.7618068745867,11.46939950279405,7000,1000000000000.0,50000.0,1.5
